ID,bw,SEX,al,bl,cl,ch
SS138,54,1,114.47,208.79,56.22,34.76
SS1390,51.9,1,119.78,211.19,63.28,37.92
SS1391,41.1,0,106.04,180.24,49.02,30.51
SS1392,49.1,1,108.56,201.99,63.87,40.3
SS1393,50.8,1,118.98,210.96,61.68,36.81
SS1394,54.5,1,118.96,206.42,58.82,35.28
SS1395,54,0,117.38,204.96,61.91,34.6
SS1396,55.6,1,124.75,209.61,58.24,36.31
SS1397,55,1,122.7,210.11,60.86,37.5
SS1398,48.1,1,109.21,196.44,58.08,38.67
SS1399,51.3,1,116.03,206.87,62.39,36.27
SS139,57,1,119.8,198.07,49.82,34.76
SS13,59.9,1,116.84,208.02,62.39,47.79
SS1400,53.4,0,121.62,210.59,62.28,38.17
SS1401,45.9,1,111.67,198.06,56.52,31.45
SS1402,69.3,0,126.59,231.47,74.37,39.37
SS1403,58.1,1,120.18,207.2,60.39,36.31
SS1404,49,1,121.61,199.42,50.98,32.97
SS1405,74.9,1,111.84,194.32,55.44,31.45
SS1406,61.3,0,138.81,226.69,58.48,38.5
SS1407,39.5,1,110.74,181.4,46.79,32.01
SS1408,50.2,1,116.92,206.49,60.97,36.92
SS1409,56.4,1,124.04,217.03,63.81,38.83
SS140,50.1,1,115.61,197.01,52.27,30.54
SS1410,45.8,1,114.26,195.43,55.08,33.75
SS1411,55,0,125.79,213.37,58.66,34.89
SS1412,49.9,1,111.8,199.62,58.5,35.66
SS1413,66.4,0,127.63,220.73,66.04,34.11
SS1414,49,0,118.68,203.28,59.17,32.64
SS1415,46.8,1,110.31,198.42,62.52,37.17
SS1416,45.1,1,113.25,194.8,56.4,30.92
SS1417,54.1,0,122.27,207.27,60.31,35.46
SS1418,53.9,1,119.81,210.24,60.34,37.05
SS1419,49.3,0,113.75,204.2,62.31,33.93
SS141,57.6,1,117.91,211.86,58.34,35.44
SS1420,45.2,1,116.94,195.55,53.58,32.24
SS1421,51.9,1,121.4,205.06,58.97,34.11
SS1422,45.8,1,112.14,200.2,57.91,27.73
SS1423,42.4,1,108.33,190.04,56.35,32.62
SS1424,43.5,1,115.99,194.79,53.22,33.27
SS1425,53.8,1,119.69,203.3,58.17,34.21
SS1426,36,1,101.76,174.71,49.94,34.41
SS1427,,1,,,,
SS1428,46,1,116.25,195.83,53.23,33.82
SS1429,43.7,1,115.86,197.38,56.39,33.82
SS142,60,1,119.35,212.61,59.16,34.93
SS1430,51,0,112.6,193.1,50.74,37.36
SS1431,45.5,1,120.62,202.36,52.97,34.05
SS1432,45.8,1,118.07,193.79,50.09,34.61
SS1433,44.7,1,110.82,185.75,51.99,32.05
SS1434,54,0,122.13,207.37,59.6,33.95
SS1435,45.7,1,115.87,194.43,52.9,34.05
SS1436,59.1,0,116.95,209.75,67.46,33.44
SS1437,51.9,1,128.43,215.19,61.48,33.78
SS1438,50.3,1,112.57,201.98,65.72,39.5
SS1439,49.3,0,116.97,195.4,53.12,34.79
SS143,48.4,1,118.35,195.66,48.22,31.03
SS1440,45,0,112.25,194.32,56.05,31.33
SS1441,48.5,1,119.78,205.95,57.86,33.95
